timestamp;day;hour;bag_id;flight;terminal;zone;sensor;process;speed;vibration;temp;rfid_ok;jam;intervene;priority;result;screen_delay;vehicle_delay
01/01/25 19:16;1;19;B001;FL101;T2;Zone_B;C-02;checkin;1.37;4.7;43.9;1;0;0;0;1;;0.3
01/01/25 19:20;1;19;B001;FL101;T2;Zone_B;S-12;screening;;4.0;42.8;1;0;0;0;1;1.3;
01/01/25 19:25;1;19;B001;FL101;T2;Zone_B;S-23;sorting;;3.0;45.1;1;0;0;0;1;;
01/01/25 19:30;1;19;B001;FL101;T2;Zone_B;S-09;transport;1.51;5.0;50.9;1;0;0;0;1;;1.0
01/01/25 13:45;1;13;B002;FL220;T3;Zone_C;C-02;checkin;1.27;5.3;50.5;1;0;0;0;1;;0.2
01/01/25 13:48;1;13;B002;FL220;T3;Zone_C;S-12;screening;;4.2;49.5;1;0;0;0;1;2.0;
01/01/25 13:55;1;13;B002;FL220;T3;Zone_C;S-22;sorting;;4.1;42.8;1;0;0;0;1;;
01/01/25 13:58;1;13;B002;FL220;T3;Zone_C;S-01;transport;1.67;5.5;49.6;1;0;0;0;1;;0.7
01/01/25 14:43;1;14;B003;FL170;T2;Zone_A;S-03;transport;1.69;4.9;50.0;1;0;0;0;1;;0.7
01/01/25 14:46;1;14;B003;FL170;T2;Zone_A;S-13;screening;;4.7;45.9;1;0;0;0;1;1.4;
01/01/25 14:52;1;14;B003;FL170;T2;Zone_A;S-23;sorting;;5.5;42.5;1;0;0;0;1;;
01/01/25 14:55;1;14;B003;FL170;T2;Zone_A;S-09;transport;1.55;4.6;47.9;1;0;0;0;1;;0.4
01/01/25 07:30;1;7;B004;FL150;T3;Zone_C;C-01;checkin;1.43;4.7;51.3;1;0;0;0;1;;0.5
01/01/25 07:33;1;7;B004;FL150;T3;Zone_C;S-12;screening;;5.1;44.1;1;0;0;0;1;0.0;
01/01/25 07:36;1;7;B004;FL150;T3;Zone_C;S-21;sorting;;3.1;47.8;1;0;0;0;1;;
01/01/25 07:41;1;7;B004;FL150;T3;Zone_C;S-09;transport;1.81;6.7;58.0;1;0;0;0;1;;0.9
01/01/25 08:35;1;8;B005;FL110;T1;Zone_C;S-02;transport;1.79;3.2;47.8;1;0;0;1;1;;1.1
01/01/25 08:38;1;8;B005;FL110;T1;Zone_C;S-11;screening;;3.5;50.0;1;0;1;1;1;1.2;
01/01/25 08:45;1;8;B005;FL110;T1;Zone_C;S-23;sorting;;5.5;43.4;1;0;1;1;1;;
01/01/25 08:51;1;8;B005;FL110;T1;Zone_C;S-03;transport;1.65;5.1;48.8;1;0;1;1;1;;0.3
01/01/25 08:26;1;8;B006;FL155;T3;Zone_B;C-01;checkin;1.58;4.8;51.4;1;0;0;0;1;;0.3
01/01/25 08:29;1;8;B006;FL155;T3;Zone_B;S-11;screening;;4.1;42.1;1;0;0;0;1;0.5;
01/01/25 08:34;1;8;B006;FL155;T3;Zone_B;S-21;sorting;;4.4;49.5;1;0;0;0;1;;
01/01/25 08:38;1;8;B006;FL155;T3;Zone_B;S-01;transport;1.57;3.3;46.0;1;0;0;0;1;;0.9
01/01/25 11:58;1;11;B007;FL200;T1;Zone_B;C-02;checkin;1.53;3.1;49.3;1;0;0;0;1;;0.2
01/01/25 12:01;1;12;B007;FL200;T1;Zone_B;S-12;screening;;3.4;46.4;1;0;0;0;1;2.0;
01/01/25 12:06;1;12;B007;FL200;T1;Zone_B;S-22;sorting;;2.9;51.6;1;0;0;0;1;;
01/01/25 12:08;1;12;B007;FL200;T1;Zone_B;S-09;transport;1.6;5.1;42.5;1;0;0;0;1;;0.1
01/01/25 10:27;1;10;B008;FL101;T1;Zone_B;S-02;transport;1.82;3.0;43.3;1;0;0;0;1;;0.8
01/01/25 10:30;1;10;B008;FL101;T1;Zone_B;S-12;screening;;3.6;45.1;1;0;0;0;1;0.8;
01/01/25 10:35;1;10;B008;FL101;T1;Zone_B;S-21;sorting;;4.4;44.3;1;0;0;0;1;;
01/01/25 10:40;1;10;B008;FL101;T1;Zone_B;S-09;transport;1.7;7.8;59.8;1;0;0;0;1;;1.1
02/01/25 07:39;2;7;B009;FL150;T3;Zone_B;C-02;checkin;1.59;3.2;49.1;1;0;0;0;0;;0.5
02/01/25 07:43;2;7;B009;FL150;T3;Zone_B;S-13;screening;;3.8;45.6;1;0;0;0;1;1.6;
02/01/25 07:46;2;7;B009;FL150;T3;Zone_B;S-23;sorting;;3.4;45.8;1;0;0;0;1;;
02/01/25 07:48;2;7;B009;FL150;T3;Zone_B;S-02;transport;1.53;4.1;45.6;1;0;0;0;1;;1.2
02/01/25 07:50;2;7;B010;FL115;T1;Zone_B;C-02;checkin;1.73;3.8;44.1;1;0;0;1;1;;0.5
02/01/25 07:53;2;7;B010;FL115;T1;Zone_B;S-12;screening;;3.1;42.1;1;0;1;1;1;1.6;
02/01/25 07:59;2;7;B010;FL115;T1;Zone_B;S-21;sorting;;3.6;48.0;1;0;0;1;1;;
02/01/25 08:05;2;8;B010;FL115;T1;Zone_B;S-03;transport;1.67;4.2;42.2;1;0;1;1;1;;1.0
02/01/25 06:36;2;6;B011;FL150;T2;Zone_C;S-01;transport;1.65;3.0;45.5;1;0;0;0;1;;0.7
02/01/25 06:43;2;6;B011;FL150;T2;Zone_C;S-12;screening;;3.0;45.5;1;0;0;0;1;0.1;
02/01/25 06:50;2;6;B011;FL150;T2;Zone_C;S-22;sorting;;3.3;49.6;1;1;0;0;1;;
02/01/25 06:53;2;6;B011;FL150;T2;Zone_C;S-09;transport;1.87;5.3;51.5;1;0;0;0;1;;0.6
02/01/25 13:38;2;13;B012;FL160;T3;Zone_C;C-01;checkin;1.74;4.3;48.6;1;0;0;1;1;;0.1
02/01/25 13:41;2;13;B012;FL160;T3;Zone_C;S-13;screening;;4.0;48.3;1;0;0;1;1;2.3;
02/01/25 13:46;2;13;B012;FL160;T3;Zone_C;S-22;sorting;;3.3;47.0;1;0;0;1;1;;
02/01/25 13:51;2;13;B012;FL160;T3;Zone_C;S-02;transport;1.85;5.1;47.4;1;0;0;1;1;;1.2
02/01/25 15:18;2;15;B013;FL110;T3;Zone_A;C-01;checkin;1.36;3.5;46.5;1;0;0;1;1;;0.0
02/01/25 15:23;2;15;B013;FL110;T3;Zone_A;S-12;screening;;2.5;51.6;1;0;0;1;1;0.0;
02/01/25 15:26;2;15;B013;FL110;T3;Zone_A;S-23;sorting;;3.2;44.2;1;0;0;1;1;;
02/01/25 15:28;2;15;B013;FL110;T3;Zone_A;S-03;transport;1.59;4.2;51.5;1;0;0;1;1;;0.8
02/01/25 07:39;2;7;B014;FL160;T1;Zone_B;C-02;checkin;1.61;4.2;51.2;1;0;0;0;1;;0.5
02/01/25 07:43;2;7;B014;FL160;T1;Zone_B;S-11;screening;;3.0;47.3;1;0;0;0;1;0.2;
02/01/25 07:49;2;7;B014;FL160;T1;Zone_B;S-21;sorting;;2.9;48.2;1;0;0;0;1;;
02/01/25 07:53;2;7;B014;FL160;T1;Zone_B;S-09;transport;1.7;4.4;44.6;1;0;0;0;1;;0.4
02/01/25 05:31;2;5;B015;FL104;T2;Zone_A;C-02;checkin;1.74;3.5;43.8;1;1;0;0;1;;0.4
02/01/25 05:36;2;5;B015;FL104;T2;Zone_A;S-13;screening;;4.9;46.3;1;0;0;0;1;1.6;
02/01/25 05:40;2;5;B015;FL104;T2;Zone_A;S-23;sorting;;3.6;50.5;1;0;0;0;1;;
02/01/25 05:45;2;5;B015;FL104;T2;Zone_A;S-02;transport;1.93;2.7;42.1;1;0;0;0;1;;1.4
02/01/25 06:46;2;6;B016;FL140;T2;Zone_B;C-01;checkin;1.36;4.8;45.9;1;0;0;0;1;;0.4
02/01/25 06:51;2;6;B016;FL140;T2;Zone_B;S-12;screening;;3.8;46.8;1;0;0;0;1;0.4;
02/01/25 06:54;2;6;B016;FL140;T2;Zone_B;S-22;sorting;;4.8;47.3;1;0;0;0;1;;
02/01/25 06:56;2;6;B016;FL140;T2;Zone_B;S-03;transport;1.95;3.8;44.1;1;0;0;0;1;;0.5
03/01/25 13:30;3;13;B017;FL200;T3;Zone_C;S-09;transport;1.59;3.6;44.8;1;0;0;0;1;;1.2
03/01/25 13:36;3;13;B017;FL200;T3;Zone_C;S-12;screening;;4.4;42.5;1;0;0;0;1;1.3;
03/01/25 13:40;3;13;B017;FL200;T3;Zone_C;S-21;sorting;;3.2;46.7;1;0;0;0;1;;
03/01/25 13:43;3;13;B017;FL200;T3;Zone_C;S-03;transport;1.66;3.6;42.5;1;1;1;0;1;;0.9
03/01/25 19:55;3;19;B018;FL104;T1;Zone_A;S-01;transport;1.58;3.1;46.8;1;0;0;0;1;;0.7
03/01/25 20:01;3;20;B018;FL104;T1;Zone_A;S-12;screening;;3.0;45.8;1;0;0;0;1;0.3;
03/01/25 20:06;3;20;B018;FL104;T1;Zone_A;S-23;sorting;;4.1;51.5;1;0;0;0;1;;
03/01/25 20:11;3;20;B018;FL104;T1;Zone_A;S-09;transport;1.94;4.0;47.6;1;0;0;0;1;;0.8
03/01/25 14:24;3;14;B019;FL101;T3;Zone_A;C-01;checkin;1.76;5.4;49.9;1;0;0;1;1;;0.2
03/01/25 14:29;3;14;B019;FL101;T3;Zone_A;S-13;screening;;5.4;46.0;1;0;0;1;1;0.1;
03/01/25 14:34;3;14;B019;FL101;T3;Zone_A;S-22;sorting;;2.7;46.1;1;0;0;1;1;;
03/01/25 14:37;3;14;B019;FL101;T3;Zone_A;S-03;transport;1.58;3.4;46.2;1;0;0;1;1;;0.5
03/01/25 17:59;3;17;B020;FL101;T1;Zone_B;C-02;checkin;1.69;3.1;43.0;1;0;0;0;1;;0.1
03/01/25 18:03;3;18;B020;FL101;T1;Zone_B;S-11;screening;;5.3;46.3;1;0;0;0;1;1.6;
03/01/25 18:09;3;18;B020;FL101;T1;Zone_B;S-21;sorting;;2.9;42.7;1;0;0;0;1;;
03/01/25 18:14;3;18;B020;FL101;T1;Zone_B;S-09;transport;1.85;4.9;43.1;1;0;0;0;1;;0.8
03/01/25 17:38;3;17;B021;FL160;T1;Zone_C;S-01;transport;1.91;3.7;48.7;1;0;0;0;1;;1.1
